model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,96.63,3.37,99.56,0.44,86.57,0.95,bicubic
convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,96.63,3.37,99.59,0.41,28.64,1.0,bicubic
coat_lite_medium_384.in1k,384,96.62,3.38,99.45,0.55,44.57,1.0,bicubic
regnetz_e8.ra3_in1k,320,96.62,3.38,99.61,0.39,57.7,1.0,bicubic
nextvit_small.bd_ssld_6m_in1k,224,96.61,3.39,99.58,0.42,31.76,0.95,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,384,96.61,3.39,99.47,0.53,88.3,1.0,bicubic
dm_nfnet_f3.dm_in1k,416,96.61,3.39,99.63,0.37,254.92,0.94,bicubic
tf_efficientnet_b7.ra_in1k,600,96.61,3.39,99.53,0.47,66.35,0.949,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,288,96.61,3.39,99.7,0.3,39.57,1.0,bicubic
efficientnet_h_b5.sw_r448_e450_in1k,576,96.6,3.4,99.58,0.42,45.88,1.0,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,96.6,3.4,99.59,0.41,60.4,0.95,bicubic
deit3_huge_patch14_224.fb_in1k,224,96.59,3.41,99.52,0.48,632.13,0.9,bicubic
convnext_small.in12k_ft_in1k,288,96.59,3.41,99.58,0.42,50.22,1.0,bicubic
regnety_160.sw_in12k_ft_in1k,224,96.59,3.41,99.69,0.31,83.59,0.95,bicubic
convnext_tiny.in12k_ft_in1k_384,384,96.58,3.42,99.66,0.34,28.59,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,256,96.58,3.42,99.64,0.36,88.59,1.0,bicubic
cait_s24_384.fb_dist_in1k,384,96.58,3.42,99.55,0.45,47.06,1.0,bicubic
maxvit_tiny_tf_384.in1k,384,96.57,3.43,99.57,0.43,30.98,1.0,bicubic
regnety_2560.seer_ft_in1k,384,96.57,3.43,99.51,0.49,1282.6,1.0,bicubic
convnext_small.in12k_ft_in1k,224,96.57,3.43,99.58,0.42,50.22,0.95,bicubic
regnety_120.sw_in12k_ft_in1k,288,96.57,3.43,99.68,0.32,51.82,1.0,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,96.57,3.43,99.53,0.47,88.34,1.0,bicubic
hrnet_w48_ssld.paddle_in1k,288,96.56,3.44,99.64,0.36,77.47,1.0,bilinear
tf_efficientnet_b8.ap_in1k,672,96.56,3.44,99.55,0.45,87.41,0.954,bicubic
convformer_s36.sail_in22k_ft_in1k,224,96.55,3.45,99.6,0.4,40.01,1.0,bicubic
