model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
hgnetv2_b3.ssld_stage2_ft_in1k,224,57.39,42.61,73.29,26.71,16.29,0.965,bicubic
hgnetv2_b4.ssld_stage2_ft_in1k,288,57.34,42.66,72.96,27.04,19.8,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,224,57.3033,42.6967,72.4967,27.5033,50.22,0.875,bicubic
volo_d4_448.sail_in1k,448,57.2767,42.7233,71.4233,28.5767,193.41,1.15,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,224,57.16,42.84,72.5533,27.4467,21.2,0.95,bicubic
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,224,57.0367,42.9633,71.3367,28.6633,88.22,0.9,bicubic
efficientvit_l3.r256_in1k,256,57.0033,42.9967,70.7467,29.2533,246.04,1.0,bicubic
hgnetv2_b3.ssld_stage1_in22k_in1k,224,56.9667,43.0333,72.9267,27.0733,16.29,0.965,bicubic
maxvit_small_tf_512.in1k,512,56.9467,43.0533,70.9533,29.0467,69.13,1.0,bicubic
vit_base_patch16_224.augreg_in21k_ft_in1k,224,56.86,43.14,70.68,29.32,86.57,0.9,bicubic
convnext_small.in12k_ft_in1k,224,56.75,43.25,71.06,28.94,50.22,0.95,bicubic
