model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
regnety_2560.seer_ft_in1k,384,89.63,10.37,98.403,1.597,1282.6,1.0,bicubic
dm_nfnet_f3.dm_in1k,416,89.6279,10.3721,98.4606,1.5394,254.92,0.94,bicubic
convnext_small.in12k_ft_in1k_384,384,89.6215,10.3785,98.4499,1.5501,50.22,1.0,bicubic
maxvit_base_tf_384.in1k,384,89.6065,10.3935,98.3218,1.6782,119.65,1.0,bicubic
regnety_160.sw_in12k_ft_in1k,288,89.598,10.402,98.5567,1.4433,83.59,1.0,bicubic
volo_d3_224.sail_in1k,224,89.5894,10.4106,98.3709,1.6291,86.33,0.96,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,384,89.5873,10.4127,98.5033,1.4967,118.52,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k_384,384,89.5852,10.4148,98.5311,1.4689,26.77,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,89.583,10.417,98.4094,1.5906,86.57,0.95,bicubic
maxvit_large_tf_384.in1k,384,89.583,10.417,98.1852,1.8148,212.03,1.0,bicubic
tf_efficientnet_b8.ap_in1k,672,89.5809,10.4191,98.3026,1.6974,87.41,0.954,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,89.5788,10.4212,98.4862,1.5138,93.59,0.875,bicubic
efficientnet_h_b5.sw_r448_e450_in1k,576,89.5766,10.4234,98.4201,1.5799,45.88,1.0,bicubic
efficientvit_l2.r288_in1k,288,89.5638,10.4362,98.0614,1.9386,63.71,1.0,bicubic
maxvit_tiny_tf_512.in1k,512,89.5617,10.4383,98.3346,1.6654,31.05,1.0,bicubic
tf_efficientnetv2_l.in1k,480,89.5531,10.4469,98.3389,1.6611,118.52,1.0,bicubic
efficientvit_l3.r320_in1k,320,89.5489,10.4511,97.8607,2.1393,246.04,1.0,bicubic
dm_nfnet_f4.dm_in1k,384,89.5489,10.4511,98.2706,1.7294,316.07,0.951,bicubic
convnextv2_large.fcmae_ft_in1k,224,89.5467,10.4533,98.2941,1.7059,197.96,0.875,bicubic
flexivit_large.1200ep_in1k,240,89.5403,10.4597,98.3944,1.6056,304.36,0.95,bicubic
hiera_large_224.mae_in1k_ft_in1k,224,89.5382,10.4618,98.2258,1.7742,213.74,0.9,bicubic
xcit_small_12_p8_384.fb_dist_in1k,384,89.5211,10.4789,98.2962,1.7038,26.21,1.0,bicubic
xcit_large_24_p8_224.fb_dist_in1k,224,89.519,10.481,98.2215,1.7785,188.93,1.0,bicubic
cait_s24_384.fb_dist_in1k,384,89.5104,10.4896,98.3624,1.6376,47.06,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k,224,89.5062,10.4938,98.5909,1.4091,44.82,0.95,bicubic
flexivit_large.600ep_in1k,240,89.5062,10.4938,98.3859,1.6141,304.36,0.95,bicubic
