model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convnext_small.fb_in22k_ft_in1k_384,384,46.8726,53.1274,69.5298,30.4702,50.22,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,224,46.7075,53.2925,69.7734,30.2266,39.3,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,46.5169,53.4831,69.5867,30.4133,93.59,0.95,bicubic
nextvit_small.bd_ssld_6m_in1k_384,384,46.4344,53.5656,69.1525,30.8475,31.76,1.0,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,46.287,53.713,69.2036,30.7964,21.23,1.0,bicubic
maxvit_base_tf_384.in1k,384,46.2752,53.7248,68.5295,31.4705,119.65,1.0,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,46.2595,53.7405,69.909,30.091,86.53,0.9,bicubic
hrnet_w48_ssld.paddle_in1k,288,46.2261,53.7739,68.1365,31.8635,77.47,1.0,bilinear
vit_base_patch32_clip_384.openai_ft_in12k_in1k,384,46.2241,53.7759,69.3018,30.6982,88.3,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,224,45.9982,54.0018,67.8712,32.1288,86.53,0.9,bicubic
convnextv2_large.fcmae_ft_in1k,224,45.9333,54.0667,67.0145,32.9855,197.96,0.875,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,384,45.896,54.104,68.5315,31.4685,86.86,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,45.892,54.108,68.5708,31.4292,93.59,1.0,bicubic
hiera_large_224.mae_in1k_ft_in1k,224,45.837,54.163,66.2599,33.7401,213.74,0.9,bicubic
maxvit_large_tf_384.in1k,384,45.7977,54.2023,68.1228,31.8772,212.03,1.0,bicubic
tf_efficientnet_b8.ap_in1k,672,45.7623,54.2377,67.9047,32.0953,87.41,0.954,bicubic
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,224,45.7545,54.2455,68.8833,31.1167,88.22,0.9,bicubic
vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,45.727,54.273,67.6787,32.3213,60.6,1.0,bicubic
convnext_small.in12k_ft_in1k_384,384,45.7171,54.2829,67.83,32.17,50.22,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,45.6464,54.3536,68.8557,31.1443,93.59,0.875,bicubic
tf_efficientnet_b5.ns_jft_in1k,456,45.615,54.385,67.8536,32.1464,30.39,0.934,bicubic
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,45.5658,54.4342,68.506,31.494,87.77,0.9,bicubic
hgnet_small.ssld_in1k,224,45.3536,54.6464,67.8025,32.1975,24.36,0.965,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,45.3418,54.6582,66.6549,33.3451,186.27,1.0,bicubic
mvitv2_large.fb_in1k,224,45.3104,54.6896,65.2165,34.7835,217.99,0.9,bicubic
hgnetv2_b4.ssld_stage2_ft_in1k,224,45.2672,54.7328,67.6001,32.3999,19.8,0.965,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,45.106,54.894,67.4547,32.5453,86.57,0.9,bicubic
vit_base_patch32_clip_224.openai_ft_in1k,224,45.0333,54.9667,68.4686,31.5314,88.22,0.9,bicubic
nextvit_small.bd_ssld_6m_in1k,224,45.0196,54.9804,67.7121,32.2879,31.76,0.95,bicubic
vit_large_patch16_rope_mixed_224.naver_in1k,224,44.9527,55.0473,65.1752,34.8248,304.2,0.9,bicubic
vit_large_patch16_rope_mixed_ape_224.naver_in1k,224,44.939,55.061,65.3953,34.6047,304.4,0.9,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,44.9036,55.0964,67.549,32.451,93.59,1.0,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,224,44.823,55.177,67.5549,32.4451,21.2,0.95,bicubic
convnextv2_large.fcmae_ft_in1k,288,44.8014,55.1986,65.8669,34.1331,197.96,1.0,bicubic
vit_large_patch16_rope_ape_224.naver_in1k,224,44.6383,55.3617,65.1555,34.8445,304.37,0.9,bicubic
regnety_160.lion_in12k_ft_in1k,224,44.5696,55.4304,66.3444,33.6556,83.59,0.95,bicubic
volo_d5_512.sail_in1k,512,44.5696,55.4304,65.7529,34.2471,296.09,1.15,bicubic
vit_large_patch16_rope_224.naver_in1k,224,44.546,55.454,65.7254,34.2746,304.17,0.9,bicubic
regnety_160.sw_in12k_ft_in1k,224,44.5303,55.4697,66.5095,33.4905,83.59,0.95,bicubic
rdnet_large.nv_in1k,224,44.5224,55.4776,65.0121,34.9879,186.27,0.9,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,44.4418,55.5582,65.5132,34.4868,60.4,0.95,bicubic
convnext_small.in12k_ft_in1k,224,44.3259,55.6741,66.309,33.691,50.22,0.95,bicubic
convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,44.3121,55.6879,66.6195,33.3805,28.64,1.0,bicubic
cait_m48_448.fb_dist_in1k,448,44.2512,55.7488,64.7036,35.2964,356.46,1.0,bicubic
deit3_large_patch16_384.fb_in1k,384,44.1805,55.8195,64.8293,35.1707,304.76,1.0,bicubic
dm_nfnet_f6.dm_in1k,448,44.1254,55.8746,65.8826,34.1174,438.36,0.956,bicubic
volo_d5_448.sail_in1k,448,44.0999,55.9001,65.0691,34.9309,295.91,1.15,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,336,44.0134,55.9866,65.9317,34.0683,22.13,1.0,bicubic
dm_nfnet_f5.dm_in1k,416,43.9289,56.0711,64.8608,35.1392,377.21,0.954,bicubic
