model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convformer_b36.sail_in22k_ft_in1k,224,63.3733,36.6267,86.48,13.52,99.88,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,63.3067,36.6933,86.8267,13.1733,88.59,1.0,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,384,63.0267,36.9733,86.08,13.92,86.86,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,63.0267,36.9733,86.7733,13.2267,40.01,1.0,bicubic
maxvit_small_tf_512.in1k,512,62.84,37.16,86.4667,13.5333,69.13,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,62.7733,37.2267,87.8933,12.1067,44.82,1.0,bicubic
maxvit_base_tf_384.in1k,384,62.4667,37.5333,85.1333,14.8667,119.65,1.0,bicubic
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k_ft_in1k,256,62.3067,37.6933,86.56,13.44,134.13,0.95,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,62.24,37.76,85.8933,14.1067,86.58,0.9,bicubic
caformer_b36.sail_in1k_384,384,62.0933,37.9067,84.48,15.52,98.75,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,62.0667,37.9333,87.0533,12.9467,88.72,1.0,bicubic
cait_m48_448.fb_dist_in1k,448,62.0667,37.9333,86.4667,13.5333,356.46,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,224,61.8533,38.1467,84.64,15.36,660.29,0.875,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,61.8533,38.1467,85.0267,14.9733,43.04,0.942,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,61.48,38.52,85.5733,14.4267,86.53,0.9,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,61.3333,38.6667,86.6,13.4,196.53,0.9,bicubic
convnext_base.fb_in22k_ft_in1k,288,61.2533,38.7467,86.48,13.52,88.59,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,61.1867,38.8133,83.7867,16.2133,329.09,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,61.1467,38.8533,85.84,14.16,93.59,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,224,60.9733,39.0267,84.9733,15.0267,56.2,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,60.8933,39.1067,85.2933,14.7067,64.11,0.95,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,60.7333,39.2667,86.6933,13.3067,200.13,1.0,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,60.6933,39.3067,84.4133,15.5867,73.88,0.95,bicubic
regnety_160.swag_lc_in1k,224,60.5333,39.4667,85.8533,14.1467,83.59,0.965,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,60.52,39.48,85.0533,14.9467,88.72,0.875,bicubic
convnext_small.in12k_ft_in1k_384,384,60.5067,39.4933,84.8133,15.1867,50.22,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,60.48,39.52,85.1467,14.8533,197.77,0.875,bicubic
caformer_m36.sail_in1k_384,384,60.3467,39.6533,84.8133,15.1867,56.2,1.0,bicubic
deit3_large_patch16_384.fb_in1k,384,60.2267,39.7733,85.5333,14.4667,304.76,1.0,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,60.16,39.84,84.6133,15.3867,73.87,0.95,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,60.0533,39.9467,85.8533,14.1467,304.2,1.0,bicubic
tf_efficientnet_b5.ns_jft_in1k,456,59.92,40.08,84.28,15.72,30.39,0.934,bicubic
xcit_large_24_p8_384.fb_dist_in1k,384,59.8933,40.1067,85.36,14.64,188.93,1.0,bicubic
efficientvit_l3.r320_in1k,320,59.84,40.16,84.9333,15.0667,246.04,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,59.84,40.16,84.96,15.04,116.09,0.95,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,59.72,40.28,84.4933,15.5067,101.66,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,59.6267,40.3733,84.2,15.8,86.86,0.95,bicubic
resnetv2_152x4_bit.goog_in21k_ft_in1k,480,59.56,40.44,83.16,16.84,936.53,1.0,bilinear
tf_efficientnetv2_m.in21k_ft_in1k,480,59.08,40.92,84.48,15.52,54.14,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,58.84,41.16,85.7867,14.2133,88.59,1.0,bicubic
